Open,High,Low,Close,Volume,Dividends,Stock Splits
280.60821533203125,283.86102294921875,278.97930908203125,282.6854248046875,3909500,0,0.0
282.6854248046875,283.3230285644531,280.9469299316406,282.05279541015625,4128600,0,0.0
282.6156921386719,285.92828369140625,282.05279541015625,285.295654296875,4722400,0,0.0
285.1960144042969,293.3404846191406,284.4986267089844,292.2894287109375,7853900,0,0.0
293.92828369140625,295.06402587890625,290.9145812988281,293.4002685546875,6830900,0,0.0
294.9793395996094,297.80377197265625,293.0466003417969,296.53851318359375,13574200,0,0.0
280.4488220214844,283.34295654296875,273.78875732421875,274.04779052734375,24562600,0,0.0
273.35040283203125,275.96063232421875,271.482421875,274.02288818359375,7817100,0,0.0
276.05029296875,278.7850341796875,274.5010986328125,276.4836730957031,5977000,0,0.0
277.1910095214844,279.0789489746094,275.0490417480469,276.11505126953125,4800800,0,0.0
